# xcpu and xcpu2 with and without treespawn on 64 nodes
# tree-spawn with 8 children per node
#
# File size(MB)	xcpu flat	xcpu -n8	xcpu2 flat	xcpu2 -n8
2.18		1.268		1.124		1.356		1.463
2.43		1.348		1.141		1.428		1.503
2.93		1.51		1.176		1.574		1.593
3.93		1.833		1.243		1.877		1.768
5.93		2.522		1.392		2.494		2.093
9.94		3.792		1.734		3.731		2.694
17.96		6.328		2.359		6.193		3.954
