# 1 MB binary, total files transferred 2.93 MB, no treespawn
# Nodes		xcpu		xcpu2-cache	xpu2-nocache	pdsh-ssh
4		0.14		0.21		0.20		0.52
8		0.23		0.29		0.27		0.91
16		0.41		0.46		0.47		1.68
32		0.74		0.83		0.89		3.21
64		1.48		1.57		1.79		6.33
91		2.15		2.19		2.44		9.05
